out_idx,time_ns,dac_left,dac_right
92,30055335000,-883918994,-1066010254
93,30055927000,-881671920,-1065295334
94,30056520000,-879340268,-1064507664
95,30057113000,-877056128,-1063728154
96,30057705000,-874768653,-1062887383
97,30058298000,-872450218,-1062005150
98,30058891000,-870094775,-1061112401
99,30059483000,-867754209,-1060166302
100,30060076000,-865384450,-1059211447
101,30060669000,-863019501,-1058205877
102,30061261000,-860634204,-1057168351
103,30061854000,-858285551,-1056111678
104,30062446000,-855854416,-1055024589
105,30063039000,-853414547,-1053857438
106,30063632000,-851001737,-1052719798
107,30064224000,-848556061,-1051507072
108,30064817000,-846084212,-1050291743
109,30065410000,-843607546,-1049004495
110,30066002000,-841147156,-1047727934
111,30066595000,-838639270,-1046381769
112,30067188000,-836172282,-1045006701
113,30067780000,-833608054,-1043621634
114,30068373000,-831135253,-1042219088
115,30068966000,-828559334,-1040768597
116,30069558000,-826035575,-1039263925
117,30070151000,-823458474,-1037730492
118,30070743000,-820881562,-1036167430
119,30071336000,-818315750,-1034606018
120,30071929000,-815724693,-1032966467
121,30072521000,-813107157,-1031313551
122,30073114000,-810496832,-1029647259
123,30073707000,-807872262,-1027922428
124,30074299000,-805224467,-1026167015
125,30074892000,-802589273,-1024391232
126,30075485000,-799906385,-1022561373
127,30076077000,-797252292,-1020739892
128,30076670000,-794565141,-1018849394
129,30077262000,-791874886,-1016945738
130,30077855000,-789117285,-1014970839
131,30078448000,-786438585,-1013015275
132,30079040000,-783695292,-1011025567
133,30079633000,-780980811,-1008948820
134,30080226000,-778222005,-1006917830
135,30080818000,-775476630,-1004819438
136,30081411000,-772677274,-1002658027
137,30082004000,-769910237,-1000512933
138,30082596000,-767117855,-998307573
139,30083189000,-764323743,-996121136
140,30083782000,-761510892,-993860983
141,30084374000,-758677477,-991566725
142,30084967000,-755880490,-989268509
143,30085559000,-753028945,-986929899
144,30086152000,-750166481,-984530314
145,30086745000,-747317554,-982129127
146,30087337000,-744463023,-979693315
147,30087930000,-741535381,-977233463
148,30088523000,-738640359,-974740706
149,30089115000,-735721363,-972202117
150,30089708000,-732855079,-969618773
151,30090301000,-729872648,-967062361
152,30090893000,-726970411,-964398400
153,30091486000,-724021221,-961773045
154,30092078000,-721059606,-959084033
155,30092671000,-718107306,-956388761
156,30093264000,-715085716,-953610866
157,30093856000,-712111227,-950841732
158,30094449000,-709121785,-948077760
159,30095042000,-706102330,-945215164
160,30095634000,-703072761,-942354135
161,30096227000,-700074541,-939477017
162,30096820000,-697021930,-936552364
163,30097412000,-693984914,-933609802
164,30098005000,-690947125,-930670893
165,30098598000,-687850376,-927655459
166,30099190000,-684791271,-924604673
167,30099783000,-681724454,-921556733
168,30100375000,-678645042,-918458985
169,30100968000,-675518502,-915316280
170,30101561000,-672377199,-912144517
171,30102153000,-669297041,-909011656
172,30102746000,-666156463,-905805380
173,30103339000,-663030734,-902550746
174,30103931000,-659858209,-899274681
175,30104524000,-656728123,-896015785
176,30105117000,-653568956,-892680660
