dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.14200000000000002,19,0.00014963457661290323,-213.68873441981432,-208.5710214312009,False
0.14300000000000002,13,0.00010238155241935484,-209.89277952086053,-209.01727037682463,False
0.14400000000000002,18,0.00014175907258064517,-210.85017563274434,-206.06519736345618,False
0.145,20,0.00015751008064516129,-209.9211256456434,-206.0032779794713,False
0.146,15,0.00011813256048387097,-210.39552034143952,-207.79288708646462,False
0.147,20,0.00015751008064516129,-206.85823280408786,-203.24530053466233,False
0.148,17,0.00013388356854838709,-212.88102550441164,-207.1096974452754,False
0.149,22,0.00017326108870967743,-215.31317839968963,-207.64530177867996,False
0.15,22,0.00017326108870967743,-206.72578708739368,-203.56317422158963,False
0.151,17,0.00013388356854838709,-214.0072392252497,-209.54048770816496,False
0.152,20,0.00015751008064516129,-213.20849420973317,-208.11486641370647,False
0.153,22,0.00017326108870967743,-208.52074850505647,-207.40470725264944,False
0.154,21,0.00016538558467741934,-210.5646266409084,-208.84533161452953,False
0.155,14,0.0001102570564516129,-212.3907001689886,-209.33405344953326,False
0.156,22,0.00017326108870967743,-209.45194411717853,-207.8621180509887,False
0.157,10,7.875504032258064e-05,-210.19151477447951,-206.29136293954656,False
0.158,17,0.00013388356854838709,-215.9496758395572,-209.85882596869885,False
0.159,22,0.00017326108870967743,-205.89059221408525,-203.9862478210283,False
0.16,16,0.00012600806451612903,-208.35954801685318,-205.00560662253412,False
0.161,21,0.00016538558467741934,-207.53257045020604,-206.5158415993019,False
0.162,22,0.00017326108870967743,-208.27822003614014,-207.08077280482365,False
0.163,15,0.00011813256048387097,-209.7057957945455,-207.39551188087273,False
0.164,22,0.00017326108870967743,-208.44692909734152,-205.08878372886582,False
0.165,22,0.00017326108870967743,-207.24012985235024,-207.519757377705,False
0.166,10,7.875504032258064e-05,-210.71593911795784,-205.018274563604,False
0.167,16,0.00012600806451612903,-205.48686143358316,-206.47833969165222,False
0.168,18,0.00014175907258064517,-212.17914775896435,-208.3480441948172,False
0.169,15,0.00011813256048387097,-212.85375780550706,-207.53294174880062,False
0.17,9,7.087953629032259e-05,-211.5824442280854,-209.30353882326628,False
0.171,18,0.00014175907258064517,-208.84959114439067,-204.8790401407344,False
0.17200000000000001,16,0.00012600806451612903,-211.5121212680144,-209.06006590112239,False
0.17300000000000001,16,0.00012600806451612903,-209.35836800979365,-205.27015470394318,False
0.17400000000000002,17,0.00013388356854838709,-210.69004574256408,-207.99325466451467,False
0.17500000000000002,12,9.450604838709677e-05,-212.9036479835995,-206.57844242028716,False
0.176,18,0.00014175907258064517,-208.5705918851,-209.18152559391558,False
0.177,16,0.00012600806451612903,-213.20104140923834,-207.03616902181028,False
0.178,15,0.00011813256048387097,-211.79355622375823,-209.03642328881475,False
0.179,18,0.00014175907258064517,-212.01283119369327,-208.01945948909574,False
0.18,22,0.00017326108870967743,-207.122782724316,-204.93582148706656,False
0.181,19,0.00014963457661290323,-208.61947928503255,-208.66617826350807,False
0.182,13,0.00010238155241935484,-209.54304426795983,-208.3776581389572,False
0.183,21,0.00016538558467741934,-207.8515216146114,-204.5973041522089,False
0.184,20,0.00015751008064516129,-209.69191755573087,-206.674237757654,False
0.185,21,0.00016538558467741934,-210.27412580293415,-205.34782236666558,False
0.186,22,0.00017326108870967743,-209.3401053498046,-207.50713639213072,False
0.187,15,0.00011813256048387097,-212.68007093357897,-208.87618126540906,False
0.188,9,7.087953629032259e-05,-212.43413395178982,-209.01637140399302,False
0.189,12,9.450604838709677e-05,-211.1421019584704,-206.42118549370605,False
0.19,19,0.00014963457661290323,-212.2580370142104,-206.93780863496085,False
0.191,13,0.00010238155241935484,-212.06224535523535,-208.26981183319745,False
0.192,15,0.00011813256048387097,-209.34898915065918,-206.42163312845867,False
0.193,16,0.00012600806451612903,-208.26333777408024,-205.89642126701995,False
0.194,13,0.00010238155241935484,-211.8872577321855,-208.20639117316932,False
0.195,19,0.00014963457661290323,-212.2465015074825,-208.18630916453048,False
0.196,20,0.00015751008064516129,-209.10217736855645,-206.81523114753196,False
0.197,10,7.875504032258064e-05,-214.80982918190944,-208.64142765883147,False
0.198,21,0.00016538558467741934,-212.5065585709391,-206.21361626808792,False
0.199,17,0.00013388356854838709,-210.90518389235467,-209.7585764605864,False
0.2,22,0.00017326108870967743,-207.27312680879328,-203.63176530759938,False
0.201,16,0.00012600806451612903,-209.62591038856516,-207.24975343402278,False
0.202,15,0.00011813256048387097,-209.80264915242492,-207.76901496091557,False
0.203,22,0.00017326108870967743,-211.2522897338581,-209.46480756605155,False
0.20400000000000001,16,0.00012600806451612903,-210.6112573835355,-206.55755600807012,False
0.20500000000000002,20,0.00015751008064516129,-212.10445682310348,-207.86038463543417,False
0.20600000000000002,19,0.00014963457661290323,-210.4028479899652,-209.73023908642728,False
0.20700000000000002,20,0.00015751008064516129,-212.12043778705734,-209.26352546409345,False
0.20800000000000002,22,0.00017326108870967743,-207.30666398649763,-202.9757072146165,False
0.209,15,0.00011813256048387097,-213.87365607748055,-207.3707564111973,False
0.21,13,0.00010238155241935484,-210.91140559030094,-206.24727338043965,False
0.211,22,0.00017326108870967743,-207.26303304626504,-204.99721883850842,False
0.212,22,0.00017326108870967743,-207.21091501182286,-207.3728266132253,False
0.213,18,0.00014175907258064517,-210.05449394932322,-205.60433639757505,False
0.214,22,0.00017326108870967743,-205.79446908372543,-208.32202876943794,False
0.215,22,0.00017326108870967743,-204.95939198385895,-206.38432540826966,False
0.216,18,0.00014175907258064517,-212.21419182111327,-210.5241106857016,False
0.217,19,0.00014963457661290323,-209.73492713649605,-204.89600112153892,False
0.218,21,0.00016538558467741934,-210.3762386597269,-205.85524602556188,False
0.219,17,0.00013388356854838709,-210.92408374117682,-208.26511497909664,False
0.22,18,0.00014175907258064517,-210.16372819295182,-211.00821284698492,False
0.221,11,8.663054435483871e-05,-209.87817316872759,-205.1248117151394,False
0.222,11,8.663054435483871e-05,-209.82911773276473,-204.5309547765709,False
0.223,13,0.00010238155241935484,-210.68433654892544,-206.5001199608887,False
0.224,22,0.00017326108870967743,-210.5771905260533,-204.66126289376484,False
0.225,22,0.00017326108870967743,-209.80430013376804,-203.82810870462345,False
0.226,22,0.00017326108870967743,-212.1603971682846,-207.3317115554006,False
0.227,22,0.00017326108870967743,-212.4769788349997,-205.78314464746472,False
0.228,22,0.00017326108870967743,-213.2736061841663,-205.59380211316164,False
0.229,19,0.00014963457661290323,-210.36196174381246,-207.17968130881363,False
0.23,22,0.00017326108870967743,-210.89961424494652,-206.3128359306511,False
0.231,10,7.875504032258064e-05,-212.92246754386056,-206.9614778995178,False
0.232,18,0.00014175907258064517,-211.66180083114298,-207.20751774283937,False
0.233,19,0.00014963457661290323,-207.8948555416718,-209.1689722629459,False
0.234,22,0.00017326108870967743,-211.60424396040708,-208.11558454698303,False
0.23500000000000001,17,0.00013388356854838709,-210.99721763426825,-205.01309482204687,False
0.23600000000000002,21,0.00016538558467741934,-212.06377172786645,-207.5198235157858,False
0.23700000000000002,14,0.0001102570564516129,-213.14092579920288,-207.45550317757977,False
0.23800000000000002,22,0.00017326108870967743,-210.85663931603122,-204.39567651648602,False
0.23900000000000002,19,0.00014963457661290323,-209.9323874411979,-207.19416806923454,False
0.24,19,0.00014963457661290323,-208.67863926555728,-209.3352158174635,False
0.241,19,0.00014963457661290323,-210.71143538117747,-208.53235705329763,False
0.242,21,0.00016538558467741934,-212.57915667129004,-206.0912199229135,False
0.243,19,0.00014963457661290323,-210.93155600163354,-207.03336285956306,False
0.244,15,0.00011813256048387097,-210.91555371960976,-206.41803257881162,False
0.245,17,0.00013388356854838709,-212.81561395887465,-207.8216932038903,False
0.246,22,0.00017326108870967743,-206.41882304747836,-205.86840008011905,False
0.247,19,0.00014963457661290323,-210.96801543040823,-206.69939756221598,False
0.248,12,9.450604838709677e-05,-210.38700511464012,-205.58466641846428,False
0.249,20,0.00015751008064516129,-209.26950977871596,-204.02635666940736,False
0.25,9,7.087953629032259e-05,-209.97561269644268,-205.12991227866095,False
0.251,21,0.00016538558467741934,-208.24247487799997,-206.97636013725457,False
0.252,18,0.00014175907258064517,-213.825523704095,-208.13771502379404,False
0.253,21,0.00016538558467741934,-212.04011686428728,-207.02735748628524,False
0.254,11,8.663054435483871e-05,-212.99934369612203,-208.6833569299518,False
0.255,16,0.00012600806451612903,-212.16046117352377,-206.02570545400164,False
0.256,19,0.00014963457661290323,-208.00059817996626,-206.14300623512722,False
0.257,19,0.00014963457661290323,-208.187945980317,-205.73495109940313,False
0.258,21,0.00016538558467741934,-207.8157201724393,-205.57236534657747,False
0.259,15,0.00011813256048387097,-211.64996117015545,-206.03061174484213,False
0.26,16,0.00012600806451612903,-211.30319920658712,-207.67221307019577,False
0.261,14,0.0001102570564516129,-209.7615180751887,-209.46193932961035,False
0.262,22,0.00017326108870967743,-205.75920296003898,-202.58025434884274,False
0.263,19,0.00014963457661290323,-213.3118313123124,-208.69940877407066,False
0.264,19,0.00014963457661290323,-210.36892087932296,-205.4501446109794,False
0.265,20,0.00015751008064516129,-207.27952834261686,-206.47699411395504,False
0.266,17,0.00013388356854838709,-210.94664334758218,-207.71090604732282,False
0.267,12,9.450604838709677e-05,-208.7198371088401,-208.6229336696687,False
