dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.051000000000000004,1,7.875504032258064e-06,-37.88994850983441,-158.18916824028634,False
0.052000000000000005,1,7.875504032258064e-06,-37.72171128083254,-158.02549395202388,False
0.053,1,7.875504032258064e-06,-37.55667082561161,-157.86272443725412,False
0.054,1,7.875504032258064e-06,-37.394707914259584,-157.7016730645747,False
0.055,1,7.875504032258064e-06,-37.235709872505886,-157.53769185572767,False
0.056,1,7.875504032258064e-06,-37.07957009789932,-157.38418711513677,False
0.057,1,7.875504032258064e-06,-36.92618763681893,-157.23156519832867,False
0.058,1,7.875504032258064e-06,-36.77546679488203,-157.07931574269884,False
0.059000000000000004,1,7.875504032258064e-06,-36.62731677428625,-156.9293201429659,False
0.06,1,7.875504032258064e-06,-36.48165133979026,-156.7848940012339,False
0.061,1,7.875504032258064e-06,-36.33838852778083,-156.64239905188902,False
0.062,1,7.875504032258064e-06,-36.197450366753955,-156.5018003387564,False
0.063,1,7.875504032258064e-06,-36.05876261431638,-156.36714065392493,False
0.064,1,7.875504032258064e-06,-35.92225453813985,-156.2236835393185,False
0.065,1,7.875504032258064e-06,-35.78785867528379,-156.09342431098682,False
0.066,1,7.875504032258064e-06,-35.65551066124295,-155.95581081367354,False
0.067,1,7.875504032258064e-06,-35.51952526696359,-155.8233240492203,False
0.068,1,7.875504032258064e-06,-35.391173776924546,-155.6991300727625,False
0.069,1,7.875504032258064e-06,-35.26469134829084,-155.5698918668818,False
0.07,1,7.875504032258064e-06,-35.14002433475984,-155.44356404137315,False
0.07100000000000001,1,7.875504032258064e-06,-35.01712135267193,-155.32401471060308,False
0.07200000000000001,1,7.875504032258064e-06,-34.89593318361238,-155.1975275811751,False
0.073,1,7.875504032258064e-06,-34.776412624321736,-155.07992539381468,False
0.074,1,7.875504032258064e-06,-34.65851440591469,-154.96616262305713,False
0.075,1,7.875504032258064e-06,-34.54219507658276,-154.84523417298004,False
0.076,1,7.875504032258064e-06,-34.4274129065733,-154.73387960593487,False
0.077,1,7.875504032258064e-06,-34.31412779386387,-154.61984872630956,False
0.078,1,7.875504032258064e-06,-34.202301196107705,-154.51006541219724,False
0.079,1,7.875504032258064e-06,-34.0918960267373,-154.39391416154143,False
0.08,1,7.875504032258064e-06,-33.98287660856832,-154.2858385447978,False
0.081,1,7.875504032258064e-06,-33.87520858416223,-154.18038725049422,False
0.082,1,7.875504032258064e-06,-33.768858859365444,-154.07202107634507,False
0.083,1,7.875504032258064e-06,-33.66379554017267,-153.97157764282747,False
0.084,1,7.875504032258064e-06,-33.55550252870385,-153.8619322585522,False
