dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.047,1,7.875504032258064e-06,-38.483635695515936,-60.45784823764524,False
0.048,1,7.875504032258064e-06,-38.303097508139686,-60.457859663252655,False
0.049,1,7.875504032258064e-06,-38.12638112532041,-60.457752973904505,False
0.05,1,7.875504032258064e-06,-37.953049596472226,-60.45777012858536,False
0.051000000000000004,1,7.875504032258064e-06,-37.78326472323782,-60.45770614198041,False
0.052000000000000005,1,7.875504032258064e-06,-37.61657358198204,-60.457801611401734,False
0.053,1,7.875504032258064e-06,-37.45301650855336,-60.45790248875476,False
0.054,1,7.875504032258064e-06,-37.29262974087444,-60.457931576357204,False
0.055,1,7.875504032258064e-06,-37.13500966619888,-60.4579304559607,False
0.056,1,7.875504032258064e-06,-36.98034340230711,-60.457780925172955,False
0.057,1,7.875504032258064e-06,-36.828253372097976,-60.45771251273662,False
0.058,1,7.875504032258064e-06,-36.67889639213798,-60.4576345460005,False
0.059000000000000004,1,7.875504032258064e-06,-36.531924399849814,-60.45740262028091,False
0.06,1,7.875504032258064e-06,-36.38739087610506,-60.45776697879966,False
0.061,1,7.875504032258064e-06,-36.24536684423076,-60.457724274568285,False
0.062,1,7.875504032258064e-06,-36.10551282721967,-60.457620110811575,False
0.063,1,7.875504032258064e-06,-35.967991210111585,-60.45763833070865,False
0.064,1,7.875504032258064e-06,-35.83248256959174,-60.45789279840616,False
0.065,1,7.875504032258064e-06,-35.699194919266,-60.45793447390915,False
0.066,1,7.875504032258064e-06,-35.56778599587882,-60.45777703870932,False
0.067,1,7.875504032258064e-06,-35.438352459263484,-60.45768043796626,False
0.068,1,7.875504032258064e-06,-35.31092620061722,-60.45776962963232,False
0.069,1,7.875504032258064e-06,-35.18523265212134,-60.457906876352546,False
0.07,1,7.875504032258064e-06,-35.061441140292686,-60.45788701716753,False
0.07100000000000001,1,7.875504032258064e-06,-34.93926916118452,-60.457897638770675,False
0.07200000000000001,1,7.875504032258064e-06,-34.81891873908782,-60.45786556642204,False
0.073,1,7.875504032258064e-06,-34.70010089970258,-60.457660203377024,False
0.074,1,7.875504032258064e-06,-34.58287597177058,-60.45752369814453,False
0.075,1,7.875504032258064e-06,-34.46731627086612,-60.45769503056068,False
